filename,multisport,session_index,date,start_time,sport,sub_sport,total_elapsed_time,total_timer_time,total_distance,avg_heart_rate,max_heart_rate,avg_speed,avg_pace,total_calories,total_ascent,avg_cadence,training_load,aerobic_training_effect,anaerobic_training_effect,normalized_power,avg_power,pool_length,total_strokes
2026-01-24-09-17-14.fit,否,,2026-01-24,09:17,骑行,,109.0,103.7,34.89,125,140,,,771,94,77,,2.6,,,,,
2026-01-25-09-54-42.fit,否,,2026-01-25,09:54,骑行,,108.2,93.6,34.77,134,156,,,831,107,78,,3.3,0.3,,,,
2026-01-26-19-22-17.fit,否,,2026-01-26,19:22,游泳,lap_swimming,37.7,37.6,975.0,131,155,,0:02,279,,24,,2.6,1.3,,,25.0,
2026-01-27-12-28-30.fit,否,,2026-01-27,12:28,跑步,treadmill,62.1,62.1,7.78,148,160,,7:58,703,,,,3.8,,236,219,,
2026-01-29-12-28-12.fit,否,,2026-01-29,12:28,跑步,trail,48.1,48.1,6.04,151,182,,7:57,495,26,,,3.2,2.9,286,237,,
2026-01-31-11-01-47.fit,否,,2026-01-31,11:01,游泳,lap_swimming,61.8,61.3,1550.0,135,166,,0:02,440,,21,,3.0,1.8,,,25.0,
2026-02-01-08-46-15.fit,否,,2026-02-01,08:46,骑行,,129.2,118.1,44.65,134,168,,,1052,142,80,,3.4,2.0,,,,
2026-02-02-20-20-02.fit,否,,2026-02-02,20:20,游泳,lap_swimming,49.9,49.9,625.0,122,161,,0:04,378,,24,,2.2,1.0,,,25.0,
2026-02-04-12-59-44.fit,否,,2026-02-04,12:59,高山滑雪,,374.5,374.3,0.12,127,158,,,2195,1,,,3.2,0.4,,,,
2026-02-05-19-30-34.fit,否,,2026-02-05,19:30,游泳,lap_swimming,50.8,46.2,875.0,114,156,,0:03,235,,29,,1.8,0.3,,,25.0,
2026-02-06-12-20-14.fit,否,,2026-02-06,12:20,跑步,treadmill,30.1,30.1,5.11,161,183,,5:53,381,,,,3.8,0.4,340,331,,
2026-02-08-16-09-30.fit,否,,2026-02-08,16:09,游泳,lap_swimming,77.5,67.1,1625.0,126,168,,0:02,449,,22,,2.7,1.1,,,25.0,
2026-02-09-13-27-20.fit,否,,2026-02-09,13:27,跑步,treadmill,34.2,34.2,5.0,152,166,,6:50,409,,,,3.5,,287,284,,
2026-02-10-12-03-32.fit,否,,2026-02-10,12:03,跑步,treadmill,56.1,56.1,7.46,154,186,,7:31,615,,,,3.6,3.1,292,231,,
2026-02-11-20-02-31.fit,否,,2026-02-11,20:02,游泳,lap_swimming,84.9,84.4,1575.0,124,163,,0:03,606,,19,,2.5,1.2,,,25.0,
2026-02-12-13-15-43.fit,否,,2026-02-12,13:15,跑步,treadmill,9.0,9.0,1.5,147,165,,6:00,103,,,,2.1,,338,305,,
2026-02-12-13-29-05.fit,否,,2026-02-12,13:29,跑步,treadmill,45.8,45.8,5.74,154,170,,7:58,526,,,,3.4,0.2,279,229,,
2026-02-13-16-49-27.fit,否,,2026-02-13,16:49,游泳,lap_swimming,72.1,65.5,925.0,121,158,,0:04,462,,18,,2.3,0.6,,,25.0,
2026-02-15-08-43-18.fit,否,,2026-02-15,08:43,跑步,,44.3,44.3,6.0,151,175,,7:23,485,10,,,3.3,0.1,273,259,,
2026-02-16-08-44-31.fit,否,,2026-02-16,08:44,跑步,,68.4,68.4,10.06,151,164,,6:47,783,63,,,3.8,0.4,297,282,,
2026-02-19-09-33-22.fit,否,,2026-02-19,09:33,跑步,,97.9,87.1,10.89,142,181,,7:59,855,35,,,3.6,2.4,279,225,,
2026-02-21-08-56-21.fit,否,,2026-02-21,08:56,跑步,,98.1,98.1,12.05,143,168,,8:08,930,39,,,3.3,,254,231,,
2026-02-23-10-29-26.fit,否,,2026-02-23,10:29,跑步,,82.8,82.8,10.56,148,183,,7:50,852,49,,,3.9,2.3,282,237,,
2026-02-24-16-50-26.fit,否,,2026-02-24,16:50,60,,2.0,2.0,,62,67,,,,,,,,,,,,
2026-02-25-20-32-17.fit,否,,2026-02-25,20:32,游泳,lap_swimming,63.7,62.1,600.0,115,150,,0:06,416,,18,,1.9,0.1,,,25.0,
2026-02-26-13-18-39.fit,否,,2026-02-26,13:18,跑步,treadmill,50.7,50.7,6.28,143,182,,8:04,562,,,,3.1,1.0,280,275,,
2026-02-27-20-09-03.fit,否,,2026-02-27,20:09,游泳,lap_swimming,65.8,65.5,1325.0,128,157,,0:02,667,,17,,2.9,0.9,,,25.0,
2026-02-28-20-01-39.fit,否,,2026-02-28,20:01,跑步,treadmill,60.1,60.1,6.16,132,143,,9:45,537,,,,2.5,,213,204,,
2026-03-03-14-31-20.fit,是,1,2026-03-03,14:31,游泳,lap_swimming,3.1,0.1,0.0,95,108,,,,,,,0.1,,,,25.0,
2026-03-03-14-31-20.fit,是,2,2026-03-03,14:34,换项,,1.4,1.4,0.02,107,116,,,10,,,,0.2,,,,,
2026-03-03-14-31-20.fit,是,3,2026-03-03,14:35,骑行,road,49.1,49.1,20.54,147,157,,,614,52,86,,3.6,0.1,,,,
2026-03-03-14-31-20.fit,是,4,2026-03-03,15:24,换项,,4.9,4.9,0.1,137,151,,,40,38,58,,3.7,0.1,,,,
2026-03-03-14-31-20.fit,是,5,2026-03-03,15:29,跑步,treadmill,38.7,38.7,5.01,153,185,,7:43,346,,,,4.0,1.3,253,242,,
2026-03-05-11-46-11.fit,否,,2026-03-05,11:46,跑步,treadmill,63.2,63.2,7.1,142,184,,8:54,667,,,,3.3,2.3,235,219,,
2026-03-06-12-52-25.fit,否,,2026-03-06,12:52,跑步,treadmill,60.1,60.1,6.35,134,145,,9:27,567,,,,2.6,,220,211,,
2026-03-07-10-28-29.fit,是,1,2026-03-07,10:28,游泳,lap_swimming,0.1,0.1,0.0,102,103,,,,,,,,,,,25.0,
2026-03-07-10-28-29.fit,是,2,2026-03-07,10:28,换项,,0.3,0.3,0.03,102,105,,,2,,,,,,,,,
2026-03-07-10-28-29.fit,是,3,2026-03-07,10:28,骑行,road,47.3,47.3,20.49,152,171,,,620,46,88,,4.0,0.2,,,,
2026-03-07-10-28-29.fit,是,4,2026-03-07,11:16,换项,,6.5,6.5,0.35,132,151,,,34,37,56,,4.0,0.2,,,,
2026-03-07-10-28-29.fit,是,5,2026-03-07,11:22,跑步,treadmill,37.8,37.8,5.0,147,163,,7:33,261,,,,4.1,0.2,259,256,,
2026-03-08-16-29-47.fit,否,,2026-03-08,16:29,游泳,lap_swimming,66.3,66.1,725.0,124,164,,0:05,537,,18,,2.4,1.4,,,25.0,
2026-03-10-12-47-16.fit,否,,2026-03-10,12:47,跑步,,53.1,53.1,7.45,147,181,,7:07,590,20,,,3.4,2.0,295,265,,
2026-03-11-07-24-45.fit,否,,2026-03-11,07:24,游泳,lap_swimming,67.6,67.4,1075.0,125,157,,0:03,554,,15,,2.5,1.8,,,25.0,
2026-03-12-12-22-58.fit,否,,2026-03-12,12:22,跑步,,50.1,50.1,6.9,149,162,,7:15,545,21,,,3.1,,285,277,,
2026-03-14-11-55-10.fit,否,,2026-03-14,11:55,高山滑雪,,342.8,342.8,0.0,114,160,,,1907,,,,2.4,1.8,,,,
2026-03-15-11-34-41.fit,否,,2026-03-15,11:34,骑行,,91.4,81.0,24.02,107,129,,,473,81,77,,1.3,,,,,
2026-03-16-09-02-13.fit,否,,2026-03-16,09:02,跑步,treadmill,45.3,45.3,5.9,135,149,,7:40,444,,,,2.8,,235,227,,
